Date,Product,Brand,Size,Quantity Sold,Unit Price (₹),Margin (%),Profit (₹),Net Profit (₹),Total Revenue (₹),Tax (GST % ),Tax Amount (₹),Net Tax (₹),Dealer,Stock Availability,Dealer Location
03-01-2023,Heels,Nike,11,44,12190.01,15%,1828.5,80454,455906.44,12%,1462.8,64363.2,Dealer_2,171,Delhi
03-01-2023,Flats,Adidas,8,43,8979.46,15%,1346.92,57917.56,328199.22,12%,1077.54,46334.22,Dealer_5,104,Haryana
04-01-2023,Flats,Paragon,10,22,2282.37,40%,912.95,20084.9,30127.24,12%,273.88,6025.36,Dealer_3,145,Mumbai
04-01-2023,Sandals,Woodland,8,17,3487.43,20%,697.49,11857.33,47428.98,12%,418.49,7114.33,Dealer_1,136,Delhi
04-01-2023,Sneakers,Paragon,9,24,1971.1,40%,788.44,18922.56,28383.84,12%,236.53,5676.72,Dealer_1,68,Delhi
04-01-2023,Flats,Paragon,6,24,668.5,40%,267.4,6417.6,9626.4,12%,80.22,1925.28,Dealer_1,134,Delhi
04-01-2023,Sneakers,Woodland,7,27,6013.87,20%,1202.77,32474.79,129899.7,12%,721.66,19484.82,Dealer_2,188,Delhi
04-01-2023,Sneakers,Paragon,9,46,1681.68,40%,672.67,30942.82,46414.46,12%,201.8,9282.8,Dealer_4,154,Haryana
04-01-2023,Boots,Nike,7,37,7251.57,15%,1087.74,40246.38,228061.71,12%,870.19,32197.03,Dealer_5,169,Haryana
04-01-2023,Heels,Paragon,6,16,651.53,40%,260.61,4169.76,6254.72,12%,78.18,1250.88,Dealer_7,136,Mumbai
05-01-2023,Boots,Adidas,7,44,5588.91,15%,838.34,36886.96,209025.08,12%,670.67,29509.48,Dealer_5,96,Haryana
05-01-2023,Sandals,Bata,7,14,2772.52,30%,831.76,11644.64,27170.64,12%,332.7,4657.8,Dealer_6,75,Pune
05-01-2023,Sneakers,Paragon,9,10,2922.49,40%,1169,11690,17534.9,12%,350.7,3507,Dealer_7,110,Mumbai
05-01-2023,Sneakers,Bata,9,40,1854.99,30%,556.5,22260,51939.6,12%,222.6,8904,Dealer_3,65,Mumbai
06-01-2023,Sandals,Nike,8,26,14118.22,15%,2117.73,55060.98,312012.74,12%,1694.19,44048.94,Dealer_4,123,Haryana
06-01-2023,Sandals,Paragon,10,45,2154.68,40%,861.87,38784.15,58176.45,12%,258.56,11635.2,Dealer_4,89,Haryana
06-01-2023,Boots,Reebok,7,13,5475.08,20%,1095.02,14235.26,56940.78,12%,657.01,8541.13,Dealer_6,65,Pune
06-01-2023,Flats,Bata,6,13,3336.71,30%,1001.01,13013.13,30364.1,12%,400.41,5205.33,Dealer_6,185,Pune
06-01-2023,Sneakers,Nike,9,15,13216.11,15%,1982.42,29736.3,168505.35,12%,1585.93,23788.95,Dealer_1,67,Delhi
06-01-2023,Flats,Puma,8,17,6678.78,20%,1335.76,22707.92,90831.34,12%,801.45,13624.65,Dealer_6,113,Pune
06-01-2023,Flats,Paragon,6,49,704.96,40%,281.98,13817.02,20726.02,12%,84.6,4145.4,Dealer_6,199,Pune
06-01-2023,Flats,Woodland,8,26,3225.56,20%,645.11,16772.86,67091.7,12%,387.07,10063.82,Dealer_7,7,Mumbai
07-01-2023,Sandals,Bata,7,29,2828.9,30%,848.67,24611.43,57426.67,12%,339.47,9844.63,Dealer_7,68,Mumbai
07-01-2023,Sneakers,Bata,9,46,4984.39,30%,1495.32,68784.72,160497.22,12%,598.13,27513.98,Dealer_1,187,Delhi
07-01-2023,Boots,Woodland,8,18,7599.56,20%,1519.91,27358.38,109433.7,12%,911.95,16415.1,Dealer_1,112,Delhi
07-01-2023,Sandals,Reebok,7,38,7002.47,20%,1400.49,53218.62,212875.24,12%,840.3,31931.4,Dealer_7,127,Mumbai
07-01-2023,Flats,Paragon,9,10,2169.66,40%,867.86,8678.6,13018,12%,260.36,2603.6,Dealer_6,126,Pune
07-01-2023,Flats,Nike,7,26,4385.14,15%,657.77,17102.02,96911.62,12%,526.22,13681.72,Dealer_2,191,Delhi
07-01-2023,Sneakers,Sketchers,8,48,2447.83,25%,611.96,29374.08,88121.76,12%,293.74,14099.52,Dealer_3,102,Mumbai
07-01-2023,Flats,Paragon,8,42,1721.33,40%,688.53,28918.26,43377.6,12%,206.56,8675.52,Dealer_1,73,Delhi
07-01-2023,Flats,Bata,8,12,1014.18,30%,304.25,3651,8519.16,12%,121.7,1460.4,Dealer_7,83,Mumbai
07-01-2023,Flats,Sketchers,7,38,3982.56,25%,995.64,37834.32,113502.96,12%,477.91,18160.58,Dealer_5,193,Haryana
08-01-2023,Sneakers,Nike,10,19,9547.08,15%,1432.06,27209.14,154185.38,12%,1145.65,21767.35,Dealer_3,199,Mumbai
08-01-2023,Flats,Adidas,8,18,2334.63,15%,350.19,6303.42,35719.92,12%,280.16,5042.88,Dealer_3,60,Mumbai
08-01-2023,Sandals,Adidas,10,25,7335.47,15%,1100.32,27508,155878.75,12%,880.26,22006.5,Dealer_3,193,Mumbai
08-01-2023,Heels,Bata,9,19,4703.06,30%,1410.92,26807.48,62550.66,12%,564.37,10723.03,Dealer_2,91,Delhi
08-01-2023,Flats,Adidas,8,11,3434.89,15%,515.23,5667.53,32116.26,12%,412.19,4534.09,Dealer_3,155,Mumbai
08-01-2023,Flats,Paragon,10,25,1167.01,40%,466.8,11670,17505.25,12%,140.04,3501,Dealer_7,77,Mumbai
08-01-2023,Sandals,Nike,9,24,5394.87,15%,809.23,19421.52,110055.36,12%,647.38,15537.12,Dealer_4,139,Haryana
08-01-2023,Sandals,Puma,7,11,5130.18,20%,1026.04,11286.44,45145.54,12%,615.62,6771.82,Dealer_3,134,Mumbai
08-01-2023,Sandals,Nike,11,27,7213.75,15%,1082.06,29215.62,165555.63,12%,865.65,23372.55,Dealer_6,152,Pune
08-01-2023,Flats,Paragon,8,11,788.35,40%,315.34,3468.74,5203.11,12%,94.6,1040.6,Dealer_2,95,Delhi
08-01-2023,Flats,Sketchers,6,16,4184.57,25%,1046.14,16738.24,50214.88,12%,502.15,8034.4,Dealer_3,130,Mumbai
08-01-2023,Sandals,Paragon,9,17,1462.99,40%,585.2,9948.4,14922.43,12%,175.56,2984.52,Dealer_6,98,Pune
09-01-2023,Sneakers,Paragon,8,10,1799.8,40%,719.92,7199.2,10798.8,12%,215.98,2159.8,Dealer_6,100,Pune
09-01-2023,Sandals,Bata,6,31,3492.62,30%,1047.79,32481.49,75789.73,12%,419.11,12992.41,Dealer_6,81,Pune
09-01-2023,Flats,Reebok,9,29,6001.36,20%,1200.27,34807.83,139231.61,12%,720.16,20884.64,Dealer_3,153,Mumbai
09-01-2023,Flats,Reebok,9,18,3151.04,20%,630.21,11343.78,45374.94,12%,378.12,6806.16,Dealer_6,147,Pune
09-01-2023,Flats,Paragon,7,49,1922.76,40%,769.1,37685.9,56529.34,12%,230.73,11305.77,Dealer_3,190,Mumbai
09-01-2023,Heels,Nike,8,28,5522.19,15%,828.33,23193.24,131428.08,12%,662.66,18554.48,Dealer_6,132,Pune
10-01-2023,Sandals,Bata,10,23,3044.7,30%,913.41,21008.43,49019.67,12%,365.36,8403.28,Dealer_7,93,Mumbai
10-01-2023,Flats,Nike,8,42,10966.25,15%,1644.94,69087.48,391495.02,12%,1315.95,55269.9,Dealer_6,135,Pune
10-01-2023,Sneakers,Metro,7,29,1898.56,30%,569.57,16517.53,38540.71,12%,227.83,6607.07,Dealer_2,87,Delhi
10-01-2023,Sneakers,Nike,7,40,10335.29,15%,1550.29,62011.6,351400,12%,1240.23,49609.2,Dealer_7,68,Mumbai
10-01-2023,Sandals,Bata,10,46,1777.74,30%,533.32,24532.72,57243.32,12%,213.33,9813.18,Dealer_7,148,Mumbai
10-01-2023,Sandals,Bata,7,19,3624.23,30%,1087.27,20658.13,48202.24,12%,434.91,8263.29,Dealer_1,77,Delhi
10-01-2023,Flats,Bata,7,21,4216.44,30%,1264.93,26563.53,61981.71,12%,505.97,10625.37,Dealer_7,182,Mumbai
10-01-2023,Sandals,Nike,9,25,14009.64,15%,2101.45,52536.25,297704.75,12%,1681.16,42029,Dealer_2,166,Delhi
11-01-2023,Flats,Bata,10,43,4951.57,30%,1485.47,63875.21,149042.3,12%,594.19,25550.17,Dealer_6,131,Pune
11-01-2023,Flats,Bata,9,42,2706.96,30%,812.09,34107.78,79584.54,12%,324.84,13643.28,Dealer_6,7,Pune
11-01-2023,Sneakers,Paragon,9,38,1147.98,40%,459.19,17449.22,26174.02,12%,137.76,5234.88,Dealer_2,120,Delhi
11-01-2023,Flats,Metro,9,41,3506.99,30%,1052.1,43136.1,100650.49,12%,420.84,17254.44,Dealer_2,162,Delhi
11-01-2023,Sneakers,Paragon,8,25,1179.29,40%,471.72,11793,17689.25,12%,141.51,3537.75,Dealer_3,188,Mumbai
12-01-2023,Sneakers,Adidas,7,34,7551.6,15%,1132.74,38513.16,218241.24,12%,906.19,30810.46,Dealer_7,104,Mumbai
12-01-2023,Sneakers,Bata,8,31,3170.44,30%,951.13,29485.03,68798.61,12%,380.45,11793.95,Dealer_5,65,Haryana
12-01-2023,Boots,Bata,8,47,4784.25,30%,1435.28,67458.16,157401.59,12%,574.11,26983.17,Dealer_1,197,Delhi
12-01-2023,Sandals,Liberty,6,32,1246.53,40%,498.61,15955.52,23933.44,12%,149.58,4786.56,Dealer_3,157,Mumbai
13-01-2023,Flats,Paragon,9,48,2744.53,40%,1097.81,52694.88,79042.56,12%,329.34,15808.32,Dealer_4,106,Haryana
13-01-2023,Sandals,Bata,9,11,2555.43,30%,766.63,8432.93,19676.8,12%,306.65,3373.15,Dealer_6,153,Pune
13-01-2023,Flats,Adidas,8,18,9845.78,15%,1476.87,26583.66,150640.38,12%,1181.49,21266.82,Dealer_6,56,Pune
13-01-2023,Sandals,Paragon,9,11,709.87,40%,283.95,3123.45,4685.12,12%,85.18,936.98,Dealer_5,84,Haryana
13-01-2023,Heels,Bata,7,13,2040.63,30%,612.19,7958.47,18569.72,12%,244.88,3183.44,Dealer_3,104,Mumbai
13-01-2023,Sandals,Bata,8,34,2113.03,30%,633.91,21552.94,50290.08,12%,253.56,8621.04,Dealer_5,114,Haryana
13-01-2023,Heels,Nike,9,11,11988.29,15%,1798.24,19780.64,112090.55,12%,1438.59,15824.49,Dealer_1,139,Delhi
13-01-2023,Boots,Paragon,6,12,2385.58,40%,954.23,11450.76,17176.2,12%,286.27,3435.24,Dealer_2,101,Delhi
13-01-2023,Heels,Nike,9,19,5862.54,15%,879.38,16708.22,94680.04,12%,703.5,13366.5,Dealer_4,79,Haryana
13-01-2023,Flats,Adidas,8,26,8135.18,15%,1220.28,31727.28,179787.4,12%,976.22,25381.72,Dealer_2,79,Delhi
14-01-2023,Sandals,Nike,9,11,14146.65,15%,2122,23342,132271.15,12%,1697.6,18673.6,Dealer_6,146,Pune
14-01-2023,Sandals,Paragon,7,14,1980.24,40%,792.1,11089.4,16633.96,12%,237.63,3326.82,Dealer_6,112,Pune
14-01-2023,Sneakers,Paragon,11,29,2625.73,40%,1050.29,30458.41,45687.76,12%,315.09,9137.61,Dealer_6,80,Pune
14-01-2023,Flats,Paragon,6,32,1831.86,40%,732.74,23447.68,35171.84,12%,219.82,7034.24,Dealer_6,144,Pune
14-01-2023,Sneakers,Woodland,10,31,2075.91,20%,415.18,12870.58,51482.63,12%,249.11,7722.41,Dealer_5,175,Haryana
14-01-2023,Sneakers,Bata,8,50,4566.3,30%,1369.89,68494.5,159820.5,12%,547.96,27398,Dealer_4,89,Haryana
14-01-2023,Sandals,Adidas,10,43,9723.79,15%,1458.57,62718.51,355404.46,12%,1166.85,50174.55,Dealer_2,187,Delhi
14-01-2023,Flats,Liberty,8,37,2564.34,40%,1025.74,37952.38,56928.2,12%,307.72,11385.64,Dealer_6,118,Pune
14-01-2023,Sandals,Puma,6,27,6348.97,20%,1269.79,34284.33,137137.86,12%,761.88,20570.76,Dealer_2,168,Delhi
14-01-2023,Flats,Paragon,10,34,1340.99,40%,536.4,18237.6,27356.06,12%,160.92,5471.28,Dealer_4,133,Haryana
15-01-2023,Sandals,Adidas,8,26,4722.71,15%,708.41,18418.66,104371.8,12%,566.73,14734.98,Dealer_6,120,Pune
15-01-2023,Flats,Nike,9,22,4027.36,15%,604.1,13290.2,75311.72,12%,483.28,10632.16,Dealer_7,154,Mumbai
15-01-2023,Sandals,Paragon,11,25,2226.52,40%,890.61,22265.25,33397.75,12%,267.18,6679.5,Dealer_6,175,Pune
15-01-2023,Sandals,Nike,6,28,5659.16,15%,848.87,23768.36,134688.12,12%,679.1,19014.8,Dealer_7,112,Mumbai
15-01-2023,Sandals,Paragon,9,33,1683.15,40%,673.26,22217.58,33326.37,12%,201.98,6665.34,Dealer_6,138,Pune
15-01-2023,Sandals,Paragon,9,31,1379.53,40%,551.81,17106.11,25659.32,12%,165.54,5131.74,Dealer_4,119,Haryana
15-01-2023,Sandals,Sketchers,7,17,4745.78,25%,1186.44,20169.48,60508.78,12%,569.49,9681.33,Dealer_3,80,Mumbai
15-01-2023,Flats,Paragon,11,21,978.85,40%,391.54,8222.34,12333.51,12%,117.46,2466.66,Dealer_7,173,Mumbai
15-01-2023,Sandals,Paragon,9,43,1991.98,40%,796.79,34261.97,51393.17,12%,239.04,10278.72,Dealer_2,99,Delhi
15-01-2023,Sandals,Puma,8,21,3162.47,20%,632.49,13282.29,53129.58,12%,379.5,7969.5,Dealer_7,186,Mumbai
15-01-2023,Sneakers,Sketchers,6,13,3990.12,25%,997.53,12967.89,38903.67,12%,478.81,6224.53,Dealer_7,82,Mumbai
15-01-2023,Flats,Metro,9,16,4490.88,30%,1347.26,21556.16,50297.92,12%,538.91,8622.56,Dealer_6,5,Pune
16-01-2023,Sandals,Bata,8,21,4861.99,30%,1458.6,30630.6,71471.19,12%,583.44,12252.24,Dealer_2,172,Delhi
16-01-2023,Sneakers,Nike,8,41,3888.99,15%,583.35,23917.35,135531.24,12%,466.68,19133.88,Dealer_6,63,Pune
16-01-2023,Sneakers,Adidas,9,29,2681.45,15%,402.22,11664.38,66097.67,12%,321.77,9331.33,Dealer_2,80,Delhi
16-01-2023,Flats,Metro,8,48,3384.51,30%,1015.35,48736.8,113719.68,12%,406.14,19494.72,Dealer_6,107,Pune
16-01-2023,Flats,Woodland,8,38,7451.03,20%,1490.21,56627.98,226511.16,12%,894.12,33976.56,Dealer_3,200,Mumbai
16-01-2023,Sandals,Reebok,9,49,2361.38,20%,472.28,23141.72,92565.9,12%,283.37,13885.13,Dealer_7,75,Mumbai
16-01-2023,Flats,Adidas,10,23,4117.17,15%,617.58,14204.34,80490.57,12%,494.06,11363.38,Dealer_1,90,Delhi
17-01-2023,Sneakers,Paragon,6,20,506.69,40%,202.68,4053.6,6080.2,12%,60.8,1216,Dealer_4,170,Haryana
17-01-2023,Sandals,Nike,7,28,11483.47,15%,1722.52,48230.56,273306.6,12%,1378.02,38584.56,Dealer_7,166,Mumbai
17-01-2023,Sneakers,Paragon,7,26,2469.57,40%,987.83,25683.58,38525.24,12%,296.35,7705.1,Dealer_6,200,Pune
17-01-2023,Flats,Adidas,8,17,6356.5,15%,953.48,16209.16,91851.34,12%,762.78,12967.26,Dealer_6,88,Pune
17-01-2023,Sandals,Adidas,6,13,3327.38,15%,499.11,6488.43,36767.51,12%,399.29,5190.77,Dealer_3,195,Mumbai
17-01-2023,Sandals,Bata,7,39,3754.71,30%,1126.41,43929.99,102503.7,12%,450.57,17572.23,Dealer_7,153,Mumbai
17-01-2023,Sandals,Woodland,9,41,4626.55,20%,925.31,37937.71,151750.84,12%,555.19,22762.79,Dealer_6,60,Pune
18-01-2023,Flats,Bata,9,26,1103.46,30%,331.04,8607.04,20082.92,12%,132.42,3442.92,Dealer_2,197,Delhi
18-01-2023,Flats,Nike,11,27,9914.96,15%,1487.24,40155.48,227548.44,12%,1189.8,32124.6,Dealer_7,94,Mumbai
18-01-2023,Sandals,Woodland,10,38,7496.44,20%,1499.29,56973.02,227891.7,12%,899.57,34183.66,Dealer_2,199,Delhi
18-01-2023,Sandals,Paragon,9,15,1675.03,40%,670.01,10050.15,15075.3,12%,201,3015,Dealer_5,135,Haryana
18-01-2023,Sandals,Paragon,7,20,1324.51,40%,529.8,10596,15894.2,12%,158.94,3178.8,Dealer_7,176,Mumbai
18-01-2023,Sandals,Paragon,8,45,591.74,40%,236.7,10651.5,15976.8,12%,71.01,3195.45,Dealer_1,130,Delhi
18-01-2023,Sandals,Bata,7,35,4459.64,30%,1337.89,46826.15,109261.25,12%,535.16,18730.6,Dealer_1,188,Delhi
19-01-2023,Sandals,Nike,7,43,7341.35,15%,1101.2,47351.6,268326.45,12%,880.96,37881.28,Dealer_7,177,Mumbai
19-01-2023,Flats,Bata,11,13,1814.23,30%,544.27,7075.51,16509.48,12%,217.71,2830.23,Dealer_6,83,Pune
19-01-2023,Sandals,Bata,10,41,1485.7,30%,445.71,18274.11,42639.59,12%,178.28,7309.48,Dealer_6,111,Pune
19-01-2023,Flats,Adidas,8,45,2109.4,15%,316.41,14238.45,80684.55,12%,253.13,11390.85,Dealer_5,73,Haryana
19-01-2023,Boots,Nike,8,17,10772.52,15%,1615.88,27469.96,155662.88,12%,1292.7,21975.9,Dealer_2,177,Delhi
19-01-2023,Flats,Reebok,9,27,4492.94,20%,898.59,24261.93,97047.45,12%,539.15,14557.05,Dealer_4,170,Haryana
19-01-2023,Boots,Bata,9,19,2534.34,30%,760.3,14445.7,33706.76,12%,304.12,5778.28,Dealer_6,180,Pune
20-01-2023,Sneakers,Nike,8,36,7078.5,15%,1061.78,38224.08,216601.92,12%,849.42,30579.12,Dealer_6,118,Pune
20-01-2023,Heels,Nike,8,29,13049.71,15%,1957.46,56766.34,321675.25,12%,1565.97,45413.13,Dealer_6,5,Pune
20-01-2023,Heels,Adidas,8,44,5874.73,15%,881.21,38773.24,219714.88,12%,704.97,31018.68,Dealer_3,191,Mumbai
20-01-2023,Flats,Paragon,8,39,2832.13,40%,1132.85,44181.15,66271.92,12%,339.86,13254.54,Dealer_2,111,Delhi
20-01-2023,Flats,Bata,7,36,1174.59,30%,352.38,12685.68,29599.56,12%,140.95,5074.2,Dealer_7,171,Mumbai
20-01-2023,Flats,Bata,8,19,2981.31,30%,894.39,16993.41,39651.48,12%,357.76,6797.44,Dealer_1,82,Delhi
20-01-2023,Flats,Paragon,8,16,2685.48,40%,1074.19,17187.04,25780.64,12%,322.26,5156.16,Dealer_4,75,Haryana
20-01-2023,Flats,Bata,6,19,2639.91,30%,791.97,15047.43,35110.86,12%,316.79,6019.01,Dealer_6,89,Pune
20-01-2023,Sneakers,Liberty,8,31,2058.15,40%,823.26,25521.06,38281.59,12%,246.98,7656.38,Dealer_3,70,Mumbai
20-01-2023,Heels,Bata,10,44,2520.04,30%,756.01,33264.44,77617.32,12%,302.4,13305.6,Dealer_3,174,Mumbai
21-01-2023,Sneakers,Paragon,6,25,2077.9,40%,831.16,20779,31168.5,12%,249.35,6233.75,Dealer_3,108,Mumbai
21-01-2023,Flats,Nike,8,16,12124.44,15%,1818.67,29098.72,164892.32,12%,1454.93,23278.88,Dealer_7,75,Mumbai
21-01-2023,Sandals,Adidas,10,29,9227.39,15%,1384.11,40139.19,227455.12,12%,1107.29,32111.41,Dealer_1,133,Delhi
21-01-2023,Flats,Nike,8,32,7498.09,15%,1124.71,35990.72,203948.16,12%,899.77,28792.64,Dealer_2,112,Delhi
21-01-2023,Flats,Bata,9,21,1679.93,30%,503.98,10583.58,24694.95,12%,201.59,4233.39,Dealer_1,147,Delhi
21-01-2023,Flats,Paragon,7,41,2782.07,40%,1112.83,45626.03,68438.84,12%,333.85,13687.85,Dealer_2,109,Delhi
21-01-2023,Sandals,Paragon,8,39,1138.32,40%,455.33,17757.87,26636.61,12%,136.6,5327.4,Dealer_1,169,Delhi
21-01-2023,Sandals,Paragon,9,20,684.65,40%,273.86,5477.2,8215.8,12%,82.16,1643.2,Dealer_3,200,Mumbai
21-01-2023,Sandals,Paragon,8,26,1642.09,40%,656.84,17077.84,25616.5,12%,197.05,5123.3,Dealer_3,100,Mumbai
21-01-2023,Sandals,Liberty,7,25,1453.41,40%,581.36,14534,21801.25,12%,174.41,4360.25,Dealer_3,197,Mumbai
21-01-2023,Sandals,Paragon,8,11,2944.86,40%,1177.94,12957.34,19436.12,12%,353.38,3887.18,Dealer_6,151,Pune
21-01-2023,Sandals,Nike,9,13,13927.4,15%,2089.11,27158.43,153897.77,12%,1671.29,21726.77,Dealer_7,177,Mumbai
22-01-2023,Flats,Puma,9,32,2704.52,20%,540.9,17308.8,69235.84,12%,324.54,10385.28,Dealer_2,114,Delhi
22-01-2023,Flats,Metro,10,18,3512.99,30%,1053.9,18970.2,44263.62,12%,421.56,7588.08,Dealer_6,60,Pune
22-01-2023,Sandals,Bata,6,47,2459.44,30%,737.83,34678.01,80915.67,12%,295.13,13871.11,Dealer_2,73,Delhi
22-01-2023,Sandals,Bata,10,36,1702.56,30%,510.77,18387.72,42904.44,12%,204.31,7355.16,Dealer_2,188,Delhi
22-01-2023,Sandals,Woodland,9,27,6982.84,20%,1396.57,37707.39,150829.29,12%,837.94,22624.38,Dealer_2,173,Delhi
22-01-2023,Flats,Reebok,10,31,6825.4,20%,1365.08,42317.48,169269.92,12%,819.05,25390.55,Dealer_4,69,Haryana
22-01-2023,Sneakers,Metro,7,35,4869.08,30%,1460.72,51125.2,119292.6,12%,584.29,20450.15,Dealer_6,143,Pune
22-01-2023,Sneakers,Bata,6,26,3146.29,30%,943.89,24541.14,57262.4,12%,377.55,9816.3,Dealer_4,144,Haryana
22-01-2023,Flats,Paragon,10,26,1961.4,40%,784.56,20398.56,30597.84,12%,235.37,6119.62,Dealer_6,145,Pune
22-01-2023,Sneakers,Paragon,7,40,562.56,40%,225.02,9000.8,13501.6,12%,67.51,2700.4,Dealer_6,133,Pune
22-01-2023,Flats,Puma,10,14,4994.72,20%,998.94,13985.16,55940.92,12%,599.37,8391.18,Dealer_4,127,Haryana
22-01-2023,Flats,Bata,7,18,1181.39,30%,354.42,6379.56,14885.46,12%,141.77,2551.86,Dealer_1,127,Delhi
22-01-2023,Sandals,Nike,7,25,13647.11,15%,2047.07,51176.75,290001,12%,1637.65,40941.25,Dealer_2,149,Delhi
23-01-2023,Sandals,Paragon,10,44,1547.82,40%,619.13,27241.72,40862.36,12%,185.74,8172.56,Dealer_7,89,Mumbai
23-01-2023,Sandals,Paragon,7,41,2039.13,40%,815.65,33441.65,50162.68,12%,244.7,10032.7,Dealer_2,58,Delhi
23-01-2023,Flats,Bata,7,38,2778.78,30%,833.63,31677.94,73915.7,12%,333.45,12671.1,Dealer_2,142,Delhi
23-01-2023,Sneakers,Paragon,8,44,2754.24,40%,1101.7,48474.8,72711.76,12%,330.51,14542.44,Dealer_6,141,Pune
23-01-2023,Sneakers,Bata,8,22,4872.83,30%,1461.85,32160.7,75041.56,12%,584.74,12864.28,Dealer_4,73,Haryana
23-01-2023,Flats,Adidas,10,50,6777.17,15%,1016.58,50829,288029.5,12%,813.26,40663,Dealer_1,62,Delhi
23-01-2023,Flats,Bata,7,18,4147.91,30%,1244.37,22398.66,52263.72,12%,497.75,8959.5,Dealer_2,7,Delhi
24-01-2023,Boots,Paragon,7,24,1321.4,40%,528.56,12685.44,19028.16,12%,158.57,3805.68,Dealer_2,50,Delhi
24-01-2023,Sandals,Adidas,7,44,4005.23,15%,600.78,26434.32,149795.8,12%,480.63,21147.72,Dealer_2,78,Delhi
24-01-2023,Flats,Nike,7,10,7298.91,15%,1094.84,10948.4,62040.7,12%,875.87,8758.7,Dealer_2,200,Delhi
24-01-2023,Sandals,Nike,7,26,3628.79,15%,544.32,14152.32,80196.22,12%,435.45,11321.7,Dealer_7,157,Mumbai
24-01-2023,Flats,Nike,10,14,8714.95,15%,1307.24,18301.36,103707.94,12%,1045.79,14641.06,Dealer_7,142,Mumbai
24-01-2023,Flats,Paragon,7,38,1759.6,40%,703.84,26745.92,40118.88,12%,211.15,8023.7,Dealer_6,61,Pune
